商品コード,タイトル,販売価格（税抜）,販売価格（税込）,販売価格変更日
2100190647752,（ＳＲ）バサギリＶ,364,400,20250802
2100192856664,（ＳＲ）博士の研究,545,600,20250416
2100192898800,（ＳＲ）カイリキーＶ,364,400,00000000
2100192898855,（ＳＲ）ガラルニャイキングＶ,273,300,00000000
2100190705292,（ＣＳＲ）れんげきウーラオスＶＭＡＸ,727,800,20250205
2100190718957,（ＳＥ）電脳堺狐?仙々,273,300,00000000
2100190826577,（ＷＶＣ）超戦龍覇　モルトＮＥＸＴ,1364,1500,00000000
2100192982943,（ＳＲ）デンボク,273,300,00000000
2100194935923,（ＣＨＲ）バサギリ,273,300,20250312
2100194935930,（ＣＨＲ）バサギリ,273,300,20250312
2100196222397,（レア無）終の怒流牙　ドルゲユキムラ,727,800,20250402
2100190827383,（レア無）メンデルスゾーン,182,200,00000000
2100193341244,（ＳＲ）クラベル,364,400,00000000
2100193372736,（Ｒ）幻獣機オライオン,182,200,20250305
2100194937279,（ＡＲ）ウミディグダ,273,300,20250621
2100194937453,（ＡＲ）ナカヌチャン,273,300,20250226
2100194937613,（ＡＲ）ジバコイル,182,200,20250510
2100194937668,（ＡＲ）ルナトーン,182,200,20250430
2100196706248,（ＱＳＥ）聖剣を巡る王姫アンジェリカ,1364,1500,00000000
2100190925911,（ＱＳＥ）神聖魔皇后セレーネ,3182,3500,00000000
2100191107996,（ＳＲ）博士の研究,545,600,20250416
2100193479602,（ＳＲ）氷水啼エジル・ギュミル,182,200,00000000
2100191108023,（ＳＡＲ）ヒスイダイケンキＶＳＴＡＲ,727,800,20250618
2100191167235,（ＳＲ）基本雷エネルギー,273,300,20250125
2100196373914,（ＳＲ）地縛囚人　ストーン・スィーパー,909,1000,20250723
2100196373952,（ＳＲ）フォトン・デルタ・ウィング,182,200,20250405
2100196384910,（レア無）かがやくリザードン,273,300,00000000
2100191365372,（ＨＲ）ダンサー,455,500,20250326
2100193634803,（ＳＲ）サイバー・ダーク・ホーン,250,275,00000000
2100191485728,（ＳＲ）導きの聖女クエム,182,200,00000000
2100193719111,（２０ＳＥ）デコード・トーカー,182,200,00000000
2100189448612,（ＳＲ）エルレイドＶ,364,400,00000000
2100189448636,（ＳＲ）ラブトロスＶ,364,400,00000000
2100193964665,（ＰＡ）焔聖騎士?ローラン,182,200,20250125
2100193977467,（ＳＲ）コック,364,400,00000000
2100195560858,（ＳＲ）地縛囚人　ストーン・スィーパー,909,1000,20250723
2100195560865,（ＳＲ）地縛囚人　ストーン・スィーパー,909,1000,20250723
2100195561039,（ＳＲ）フォトン・デルタ・ウィング,182,200,20250405
2100191988168,（ＡＲ）ケルディオ,273,300,20250503
2100191988267,（ＡＲ）ガラルサンダー,273,300,20250723
2100210478540,（ＶＲ）終末王秘伝オリジナルフィナーレ,273,300,20250423
2100210478960,（Ｒ）天災超邪　クロスファイア　２ｎｄ,255,281,00000000
2100209826376,（ＱＳＥ）希望皇オノマトピア,727,800,20250219
2100210569262,（ＳＥ）粛声なる守護者ローガーディアン,364,400,20250503
2100209998103,（ＵＲ）ＦＡ?クリスタル・ゼロ・ランサー,182,200,00000000
2100208359035,（ＡＲ）コレクレー,364,400,20250423
2100210055642,（ＶＲ）Ｄｉｓアイ・チョイス,545,600,20250326
2100210055659,（ＶＲ）Ｄｉｓアイ・チョイス,545,600,20250326
2100208445196,（Ｃ）勝利のプリンプリン,182,200,20250329
2100208498147,（Ｓ）パルデアウパー,182,200,00000000
2100209327545,（ＵＲ）原罪のディアベルゼ,182,200,20250607
2100209327552,（ＵＲ）原罪のディアベルゼ,182,200,20250607
2100210199377,（ＳＲ）ローブシンＶ,273,300,00000000
2100210868112,（ＡＲ）ペラップ,273,300,20250726
2100210961646,（ＶＲ）新世界王の破壊／新世界秩序,346,381,00000000
2100210325172,（ＰＲ）メルメタルＶ,255,281,00000000
2100210325387,（ＳＲ）スカタンクＶ,273,300,00000000
2100209495015,（ＨＲ）ナタネの活気,1364,1500,20250428
2100211039153,（レア無）ラウドボーンｅｘ,455,501,00000000
2100208714711,（ＶＩＣ）勝利宣言　鬼丸「覇」,1364,1500,00000000
2100208754106,（ＡＲ）極神皇トール,455,500,20250514
2100209556303,（ＡＲ）ニャビー,273,300,20250319
2100208820467,（Ｕ）サイバー・ブレイン,1364,1500,20250611
2100210478519,（ＶＲ）終末王秘伝オリジナルフィナーレ,273,300,20250423
2100207887188,（ＳＲ）ナタネの活気,2273,2500,20250611
2100203021241,（SEC）アビス・ソルジャー,455,501,00000000
2100203171472,（ＡＲ）キョジオーン,273,300,20250702
2100204577174,（ＡＲ）デオキシス,364,400,20250531
2100204583793,（Ｓ）ワッカネズミ,182,200,00000000
2100206119709,（ＱＳＥ）蛇眼の炎燐,1364,1500,00000000
2100204616743,（ＡＲ）ナットレイ,182,200,20250528
2100204616750,（ＡＲ）ナットレイ,182,200,20250528
2100207357537,（ＨＲ）おじょうさま,1091,1200,00000000
2100203236713,（ＵＲ）青眼の混沌龍,273,300,20250618
2100203270731,（ＨＲ）バサギリＶＳＴＡＲ,545,600,20250301
2100206394229,（ＳＲ）クラベル,364,400,00000000
2100203381987,（ＳＲ）ルギアＶ,1818,2000,20250604
2100203497947,（ＳＲ）オルティガ,455,500,20250125
2100203540728,（ＡＲ）イワパレス,182,200,20250510
2100206397817,（ＳＲ）デカヌチャンｅｘ,273,300,00000000
2100207765196,（ＳＲ）博士の研究,1818,2000,20250614
2100207765288,（ＡＲ）カヌチャン,273,300,20250301
2100204921755,（ＳＳＲ）イキリンコｅｘ,182,200,20250802
2100204923049,（ＳＳＲ）イキリンコｅｘ,182,200,20250802
2100206470497,（ＡＲ）バニリッチ,273,300,20250301
2100207450115,（ＮＰ）フュージョニック・リヴァイバーン,182,200,00000000
2100207450191,（Ｓ）イッカネズミ,182,200,00000000
2100206490778,（ＵＲ）パワー・ツール・ブレイバー・ドラゴン,364,400,00000000
2100206490785,（ＵＲ）パワー・ツール・ブレイバー・ドラゴン,364,400,00000000
2100207586418,（ＳＲ）基本闘エネルギー,182,200,20250531
2100206491300,（ＳＲ）宿神像ケルドウ,728,801,00000000
2100206491317,（ＳＲ）剣の御巫ハレ,273,300,20250618
2100206572481,（ＳＲ）エルレイドＶ,364,400,00000000
2100205301457,（ＨＲ）モミ,2273,2500,00000000
2100205313405,（Ｓ）ピィ,273,300,00000000
2100207586944,（ＡＲ）クワッス,364,400,20250510
2100207586968,（ＡＲ）ミルタンク,182,200,20250806
2100203903684,（ＱＳＥ）聖霊獣騎　レイラウタリ,2273,2500,20250730
2100203904001,（ＳＥＰＡ）精霊獣使い　ウィンダ,2273,2500,00000000
